iter	Passed	Remaining
400	38902	9604
401	39012	9510
402	39059	9401
403	39104	9292
404	39271	9211
405	39357	9112
406	39405	9004
407	39433	8891
408	39465	8780
409	39555	8683
410	39649	8585
411	39759	8492
412	39891	8403
413	39944	8297
414	39996	8192
415	40152	8107
416	40266	8014
417	40311	7907
418	40350	7800
419	40412	7697
420	40451	7590
421	40594	7503
422	40637	7397
423	40790	7311
424	40945	7225
425	40992	7120
426	41178	7039
427	41249	6939
428	41319	6838
429	41350	6731
430	41393	6626
431	41426	6520
432	41487	6419
433	41620	6329
434	41767	6241
435	41805	6136
436	41850	6033
437	41881	5928
438	42063	5844
439	42143	5746
440	42202	5646
441	42238	5542
442	42337	5447
443	42420	5350
444	42459	5247
445	42550	5151
446	42726	5065
447	42925	4982
448	43108	4896
449	43161	4795
450	43202	4693
451	43237	4591
452	43362	4498
453	43398	4397
454	43434	4295
455	43468	4194
456	43530	4095
457	43588	3997
458	43651	3899
459	43733	3802
460	43914	3715
461	43994	3618
462	44198	3532
463	44328	3439
464	44468	3347
465	44573	3252
466	44685	3157
467	44895	3069
468	45330	2996
469	45498	2904
470	45703	2813
471	46082	2733
472	46341	2645
473	46635	2558
474	46877	2467
475	47258	2382
476	47780	2303
477	47904	2204
478	47975	2103
479	48194	2008
480	48261	1906
481	48425	1808
482	48517	1707
483	48566	1605
484	48609	1503
485	48668	1401
486	48800	1302
487	48844	1201
488	48894	1099
489	48922	998
490	49057	899
491	49091	798
492	49123	697
493	49153	597
494	49185	496
495	49303	397
496	49337	297
497	49364	198
498	49506	99
499	49553	0
