iter	RMSE
291	0.09689602254
292	0.0968004127
293	0.09669867519
294	0.09667679868
295	0.09660380247
296	0.09653441592
297	0.09642451885
298	0.0963633966
299	0.09626187984
300	0.09619443492
301	0.09611302803
302	0.09604492163
303	0.09597528632
304	0.09587282256
305	0.09579917343
306	0.09572767421
307	0.09562821987
308	0.0955346224
309	0.09547857593
310	0.09542905022
311	0.09536847834
312	0.09531049308
313	0.09524660035
314	0.0951827181
315	0.0951199726
316	0.09505308094
317	0.09496825907
318	0.09487903814
319	0.09479768923
320	0.09474708782
321	0.09467817372
322	0.09461594403
323	0.09456621157
324	0.09450965442
325	0.09446656373
326	0.09440862523
327	0.09433346046
328	0.09425394275
329	0.09418270366
330	0.09414128489
331	0.09406532435
332	0.09400597293
333	0.09391502157
334	0.09384874851
335	0.0937470165
336	0.09368254933
337	0.09360235867
338	0.09354670572
339	0.09347942951
340	0.09341805899
341	0.09337089688
342	0.09329735797
343	0.09323380895
344	0.09318860725
345	0.09309924062
346	0.09306687267
347	0.09297943387
348	0.09293707339
349	0.09288589566
350	0.09282744257
351	0.09276983682
352	0.0927035121
353	0.09262534395
354	0.09258063223
355	0.0925374475
356	0.09247227287
357	0.09240210857
358	0.09234385732
359	0.09228579678
360	0.09222637537
361	0.0921720994
362	0.09211010981
363	0.09207685811
364	0.09201455439
365	0.091926257
366	0.09184428844
367	0.09180331436
368	0.09175294009
369	0.09169679285
370	0.09165720946
371	0.09158656215
372	0.09149984919
373	0.09144108218
374	0.09139895942
375	0.09135144213
376	0.09129705503
377	0.09124888754
378	0.09118816485
379	0.09114406955
380	0.09105650636
381	0.09101651621
382	0.09098315234
383	0.09091997898
384	0.0908819831
385	0.090822151
386	0.09076342784
387	0.09069959853
388	0.09062937702
389	0.09058090594
390	0.09053752436
391	0.09046346986
392	0.09037683177
393	0.09031980742
394	0.09024376329
395	0.0901779737
396	0.09013848001
397	0.09009360128
398	0.09005454863
399	0.08999308312
400	0.08995070546
401	0.08990723265
402	0.08984357233
403	0.08978030234
404	0.08971922219
405	0.08964591841
406	0.08954291033
407	0.0895144247
408	0.08947581592
409	0.08941524404
410	0.08936794126
411	0.08932762592
412	0.08928539522
413	0.089223398524414	0.089161981442415	0.08911403836
416	0.0890642287
417	0.08900848496
418	0.08898837391
419	0.08892847458
420	0.08889384606
421	0.08884474829
422	0.08880447553
423	0.08877240874
424	0.0887279546
425	0.08867923661
426	0.08864379334
427	0.08854450099
428	0.08849089463
429	0.08839379325
430	0.08834284549
431	0.08831042837
432	0.08823182443	433	0.08818189124
434	0.08813017431
435	0.08809446	0.1436	0.0880447	0.10437	0.088448	0.107438	0.08449	0.1070439	0.08792127431
440	0.08787028345
441	0.08783439956
442	453	0.10682323443	0.08774092973
444	0.08771085184
445	0.08765656363
446	0.087577558314447	0.08755936664448	0.087518028046449	0.08744090498
450	0.08739175062
451	0.08732802217
452	0.08728464	453	0.0872277465	0454	0.08717881539
455	0.08713467	0.1456	0.08707224191
457	0.08700921335
458	0.08699279105
459	0.08694677463
460	0.08690033485
461	473	0.10564704462	0.08682616154
463	0.086791938024464	0.086750147477465	0.08670551478	466	0.0866583480	0467	0.08662481	0.1468	0.0865482	0.1469	0.0865483	0.10470	0.086484	0.102471	0.08485	0.1028472	0.0486	0.1027473	0.0487	0.10275474	0.488	0.102715475	0489	0.1026781476	490	0.10257403477	0.08615154115
47492	0.10249999664493	0.1024377666
494	0.1023893358
495	0.1023284117
496	0.1022775884
497	0.102244968
498	0.1021885674
499	0.1021248713
47499	0486	0.08575292992
487	0.08569047158
488	0.08564014076
489	0.08557422968
490	0.08553165008
491	0.08549597822
492	0.08543936576
493	0.08538943777
494	0.08534845903
495	0.08529460781
496	0.0852551268
497	0.0852269633
498	0.08517781002
499	0.0851361557
